location	animal	user	sn	an	datatype	start	end	startreason	endreason	entct	inact	inadur	inadist	smlct	smldur	smldist	larct	lardur	lardist	stdate	sttime
OPF03	animal  3	VID\Videotrack_user	1	0	track	540	600	End of period	End of session	0	51	9.8	0	61	49.5	389.5	11	0.7	19	25/09/2017	14:13:36
OPF03	animal  3	VID\Videotrack_user	1	1	track	540	600	End of period	End of session	0	51	9.8	0	61	49.5	389.5	11	0.7	19	25/09/2017	14:13:36
OPF03	animal  3	VID\Videotrack_user	1	2	track	540	600	End of period	End of session	2	0	0	0	4	1.2	22.6	4	0.2	5.1	25/09/2017	14:13:36
OPF04	animal  4	VID\Videotrack_user	1	0	track	540	600	End of period	End of session	0	55	10.6	0	58	49.2	359.6	3	0.2	5.7	25/09/2017	14:13:36
OPF04	animal  4	VID\Videotrack_user	1	1	track	540	600	End of period	End of session	0	55	10.6	0	58	49.2	359.6	3	0.2	5.7	25/09/2017	14:13:36
OPF04	animal  4	VID\Videotrack_user	1	2	track	540	600	End of period	End of session	2	0	0	0	0	1.9	16.9	0	0	0	25/09/2017	14:13:36
OPF01	animal  1	VID\Videotrack_user	2	0	track	0	60	Beginning of session	End of period	1	73	12	0	78	47.8	329.5	4	0.2	5.8	25/09/2017	14:20:27
OPF01	animal  1	VID\Videotrack_user	2	1	track	0	60	Beginning of session	End of period	1	73	12	0	78	47.8	329.5	4	0.2	5.8	25/09/2017	14:20:27
OPF01	animal  1	VID\Videotrack_user	2	2	track	0	60	Beginning of session	End of period	0	0	0	0	0	0	0	0	0	0	25/09/2017	14:20:27
OPF02	animal  2	VID\Videotrack_user	2	0	track	0	60	Beginning of session	End of period	1	50	9.7	0	54	50.1	379.4	3	0.1	3.7	25/09/2017	14:20:27
OPF02	animal  2	VID\Videotrack_user	2	1	track	0	60	Beginning of session	End of period	1	50	9.7	0	54	50.1	379.4	3	0.1	3.7	25/09/2017	14:20:27
OPF02	animal  2	VID\Videotrack_user	2	2	track	0	60	Beginning of session	End of period	1	0	0	0	0	0.9	13.5	0	0	0	25/09/2017	14:20:27
OPF03	animal  3	VID\Videotrack_user	2	0	track	0	60	Beginning of session	End of period	1	40	4.5	0	51	54.8	526	10	0.7	19.4	25/09/2017	14:20:27
OPF03	animal  3	VID\Videotrack_user	2	1	track	0	60	Beginning of session	End of period	1	40	4.5	0	51	54.8	526	10	0.7	19.4	25/09/2017	14:20:27
OPF03	animal  3	VID\Videotrack_user	2	2	track	0	60	Beginning of session	End of period	1	0	0	0	0	1.3	20.9	0	0	0	25/09/2017	14:20:27
OPF04	animal  4	VID\Videotrack_user	2	0	track	0	60	Beginning of session	End of period	1	31	3.2	0	42	56.3	549.5	10	0.5	12.3	25/09/2017	14:20:27
OPF04	animal  4	VID\Videotrack_user	2	1	track	0	60	Beginning of session	End of period	1	31	3.2	0	42	56.3	549.5	10	0.5	12.3	25/09/2017	14:20:27
OPF04	animal  4	VID\Videotrack_user	2	2	track	0	60	Beginning of session	End of period	1	0	0	0	0	0.7	11.8	0	0	0	25/09/2017	14:20:27
OPF01	animal  1	VID\Videotrack_user	2	0	track	60	120	End of period	End of period	0	83	28.8	0	86	30.9	135	3	0.4	11.4	25/09/2017	14:21:27
OPF01	animal  1	VID\Videotrack_user	2	1	track	60	120	End of period	End of period	0	83	28.8	0	86	30.9	135	3	0.4	11.4	25/09/2017	14:21:27
OPF01	animal  1	VID\Videotrack_user	2	2	track	60	120	End of period	End of period	0	0	0	0	0	0	0	0	0	0	25/09/2017	14:21:27
